bitrate_Mbit,psnr_dB,qp,label_or_folder
0.299712,19.762045,0,qp0
0.627808,21.748781,12,qp12
1.42984,25.07963,24,qp24
2.935368,27.982937,36,qp36
5.319056,29.68346,48,qp48
