bitrate_Mbit,psnr_dB,ssim,lpips,qp,label_or_folder
13.64576,31.823065399999997,0.9189252,0.2394212,20,qp20
10.466296,31.609175600000004,0.915955,0.2447368,26,qp26
7.651264,31.5589944,0.9147236,0.251728,32,qp32
5.30696,31.492890400000004,0.913229,0.25513379999999997,38,qp38
3.643864,31.419621,0.910957,0.26040959999999996,44,qp44
