bitrate_Mbit,psnr_dB,ssim,lpips,qp,label_or_folder
2.21776,28.852763,0.8540442,0.3641278,28,qp28
1.595704,27.701137,0.827966,0.405938,32,qp32
1.21324,26.8012384,0.8101394,0.42505819999999994,36,qp36
0.91548,25.7729402,0.784355,0.4560218,40,qp40
0.685488,24.6243294,0.7590456,0.48263,44,qp44
