bitrate_Mbit,psnr_dB,ssim,lpips,qp,label_or_folder
5.322552,30.8825218,0.8976172,0.29984099999999997,28,qp28
3.421248,30.5073828,0.8898982,0.3187822,32,qp32
2.29216,29.8426934,0.8777222,0.34305139999999995,36,qp36
1.560192,29.126745600000003,0.8597380000000001,0.36819040000000003,40,qp40
1.080072,28.237437999999997,0.8404446,0.40162639999999994,44,qp44
