bitrate_Mbit,psnr_dB,qp,label_or_folder
0.486136,29.52387,0,qp0
1.084808,30.547024,12,qp12
2.384008,30.972149,24,qp24
4.570856,31.407913,36,qp36
7.96284,31.748102,48,qp48
